matchId,homeId,awayId,yyymmd,hhmm,fecha,level,stadium,city
500410,16,137,20190726,21:00,Fecha 1,Temporada Regular,Presidente Perón,Avellaneda
500411,6,869,20190727,13:15,Fecha 1,Temporada Regular,Brigadier Gral. Estanislao López,Santa Fe
500412,19,132,20190727,15:30,Fecha 1,Temporada Regular,Pedro Bidegain,Ciudad Autónoma de Buenos Aires
500413,12,8,20190727,17:45,Fecha 1,Temporada Regular,Ciudad de Lanús,Lanús
500414,2,17,20190727,20:00,Fecha 1,Temporada Regular,Diego Armando Maradona,Ciudad Autónoma de Buenos Aires
500415,7,122,20190728,11:00,Fecha 1,Temporada Regular,Ciudad de La Plata,La Plata
500416,13,1485,20190728,13:15,Fecha 1,Temporada Regular,Marcelo Bielsa,Rosario
500417,135,20,20190728,15:30,Fecha 1,Temporada Regular,Mario Alberto Kempes,Córdoba
500418,129,10,20190728,17:45,Fecha 1,Temporada Regular,Norberto Tomaghello,Florencio Varela
500419,5,100,20190728,20:00,Fecha 1,Temporada Regular,Alberto J. Armando,Ciudad Autónoma de Buenos Aires
500420,3,4,20190729,19:00,Fecha 1,Temporada Regular,Estadio Julio Humberto Grondona,Sarandí
500421,815,18,20190729,21:10,Fecha 1,Temporada Regular,Monumental Presidente José Fierro,Tucumán
500422,100,6,20190802,21:00,Fecha 2,Temporada Regular,Tomás A. Ducó,Ciudad Autónoma de Buenos Aires
500423,122,2,20190803,13:15,Fecha 2,Temporada Regular,José María Minella,Mar del Plata
500424,18,135,20190803,15:30,Fecha 2,Temporada Regular,Gigante de Arroyito,Rosario
500425,1485,815,20190803,17:45,Fecha 2,Temporada Regular,Alfredo Terrera,Santiago del Estero
500426,20,16,20190803,20:00,Fecha 2,Temporada Regular,Estadio José Amalfitani,Ciudad Autónoma de Buenos Aires
500427,137,129,20190804,11:00,Fecha 2,Temporada Regular,15 de abril,Santa Fe
500428,8,19,20190804,13:15,Fecha 2,Temporada Regular,Juan Carmelo Zerillo,La Plata
500429,4,7,20190804,15:30,Fecha 2,Temporada Regular,Florencio Sola,Banfield
