plyrId,first,middle,last,nick,shortName
28317,Iván,Alexis,Pillud,,Iván Pillud
4298,Marcelo,Alfonso,Díaz Rojas,Marcelo Díaz,Marcelo Díaz
119431,Matías,Nicolás,Rojas Romero,,Matías Rojas
127048,Ezequiel,,Bonifacio,,Ezequiel Bonifacio
44918,Horacio,Gabriel,Carabajal,,Gabriel Carabajal
175369,Franco,,Troyansky,,Franco Troyansky
38018,Gabriel,,Arias Arroyo,Gabriel Arias,Gabriel Arias
89354,Nery,Andrés,Domínguez,,Nery Domínguez
37080,Leonardo,Germán,Sigali,,Leonardo Sigali
120431,Alexis,Nahuel,Soto,,Alexis Soto
107809,Walter,Iván,Alexis Montoya,,Walter Montoya
57684,Sebastián,Emanuel,Moyano,,Sebastián Moyano
31207,Damián,Alberto,Martínez,,Damián Martínez
169461,Brian,Gabriel,Blasi,,Brian Blasi
122008,Yeimar,Pastor,Gómez Andrade,,Yeimar Gómez Andrade
582,Jonathan,Pablo,Bottinelli,,Jonathan Bottinelli
45556,Claudio,Gastón,Corvalán,,Claudio Corvalán
158998,Jalil,Juan José,Elías,,Jalil Elías
15781,Óscar,Javier,Méndez Albornoz,,Javier Méndez
224060,Lucas,,Ríos,,Lucas Ríos
186086,Pablo,Maximiliano Nicolás,Cuadra,,Maximiliano Cuadra
66503,Augusto,Jorge,Mateo Solari,,Augusto Solari
17217,Jonatan,Ezequiel,Cristaldo,,Jonatan Cristaldo
186085,Federico,Matías,Zaracho,,Matías Zaracho
79019,Diego,Hernán,González,,Diego González
488,Lisandro,,López,,Lisandro López
101,Darío,,Cvitanich,,Darío Cvitanich
15110,Javier,Hernán,García,,Javier García
105087,Mauricio,,Martínez,,Mauricio Martínez
155,Neri,Raúl,Cardozo,,Neri Cardozo
103537,David,Matías,Barbona,,David Barbona
564,Eduardo,Germán,Coudet,,Eduardo Coudet
147602,Marcos,,Peano,,Marcos Peano
200440,Franco,Lionel,Godoy,,Franco Godoy
105325,Federico,,Milo,,Federico Milo
45619,Nelson,Fernando,Acevedo,,Nelson Acevedo
226887,Gastón,,González,,Gastón González
16238,Leonardo,Carol,Madelón,,Leonardo Madelón
89000,Lautaro,,Comas,,Lautaro Comas
87424,Fernando,,Zuqui,,Fernando Zuqui
204671,Tomás,Alejandro,Chancalay,,Tomás Chancalay
126876,Gabriel,,Compagnucci,,Gabriel Compagnucci
94195,Cristian,,Tarragona,,Cristian Tarragona
126637,José,Santiago,Rosales,,Santiago Rosales
2488,Leonardo,Fabián,Burián,,Leonardo Burián
30896,Ricardo,Gastón,Díaz,,Gastón Díaz
99085,Lucas,Javier,Acevedo,,Lucas Acevedo
47915,Emanuel,,Olivera,,Emanuel Olivera
179925,Gonzalo,Daniel,Escobar,,Gonzalo Escobar
375,Matías,Lionel,Fritzler,,Matías Fritzler
